recording_id,name,media,char_range,frame_range
1,BE_2019_001_T_ELAN,"{""audio"": ""BE_2019_001_A.mp3""}","[0,52610)","[0,80510)"
2,BE_2019_002_T_ELAN,"{""audio"": ""BE_2019_002_A.mp3""}","[52610,114524)","[80510,179629)"
3,BE_2019_003_T_ELAN,"{""audio"": ""BE_2019_003_A.mp3""}","[114524,175068)","[179629,270262)"
4,BE_2019_004_T_ELAN,"{""audio"": ""BE_2019_004_A.mp3""}","[175068,244959)","[270262,388289)"
5,BE_2019_005_T_ELAN,"{""audio"": ""BE_2019_005_A.mp3""}","[244959,291467)","[388264,461899)"
6,BE_2019_006_T_ELAN,"{""audio"": ""BE_2019_006_A.mp3""}","[291467,345398)","[461899,547100)"
7,BE_2019_007_T_ELAN,"{""audio"": ""BE_2019_007_A.mp3""}","[345398,384316)","[547080,629565)"
8,BE_2019_008_T_ELAN,"{""audio"": ""BE_2019_008_A.mp3""}","[384316,465660)","[629565,748128)"
9,BE_2019_009_T_ELAN,"{""audio"": ""BE_2019_009_A.mp3""}","[465660,505312)","[748128,832451)"
10,BE_2019_010_T_ELAN,"{""audio"": ""BE_2019_010_A.mp3""}","[505312,549586)","[832451,899165)"
11,BE_2019_011_T_ELAN,"{""audio"": ""BE_2019_011_A.mp3""}","[549586,611704)","[899165,1000594)"
12,BE_2019_012_T_ELAN,"{""audio"": ""BE_2019_012_A.mp3""}","[611704,673881)","[1000594,1077766)"
13,BE_2019_013_T_ELAN,"{""audio"": ""BE_2019_013_A.mp3""}","[673881,743226)","[1077766,1175319)"
14,BE_2019_014_T_ELAN,"{""audio"": ""BE_2019_014_A.mp3""}","[743226,805769)","[1175259,1268866)"
15,BE_2019_015_T_ELAN,"{""audio"": ""BE_2019_015_A.mp3""}","[805769,842787)","[1268866,1341784)"
16,BE_2019_016_T_ELAN,"{""audio"": ""BE_2019_016_A.mp3""}","[842787,907807)","[1341784,1434698)"
17,BE_2019_019_T_ELAN,"{""audio"": ""BE_2019_019_A.mp3""}","[907807,944389)","[1434698,1491157)"
18,BE_2019_020_T_ELAN,"{""audio"": ""BE_2019_020_A.mp3""}","[944389,962103)","[1491157,1522607)"
19,BE_2019_021_T_ELAN,"{""audio"": ""BE_2019_021_A.mp3""}","[962103,985185)","[1522607,1561849)"
20,BE_2019_022_T_ELAN,"{""audio"": ""BE_2019_022_A.mp3""}","[985185,993679)","[1561849,1579028)"
